asset_id,original_backup_path,original_asset_path,webp_asset_path,webp_status,width,height,source_type,source_title,source_date,description,reference_count
archive-image-0023,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401202836576020.jpg,assets/images/original/archive-image-0023.jpg,assets/images/webp/archive-image-0023.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,田代島視察（7月28日）,1
archive-image-0024,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401202949909342.jpg,assets/images/original/archive-image-0024.jpg,assets/images/webp/archive-image-0024.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,ビニール袋をガサガサするとこんな有様①,1
archive-image-0025,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401203003242670.jpg,assets/images/original/archive-image-0025.jpg,assets/images/webp/archive-image-0025.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,こんな有様②,1
archive-image-0026,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401203119909325.jpg,assets/images/original/archive-image-0026.jpg,assets/images/webp/archive-image-0026.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,こんな有様③,1
archive-image-0027,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401203136575990.jpg,assets/images/original/archive-image-0027.jpg,assets/images/webp/archive-image-0027.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,ご飯くれないなら寝るなう。,1
archive-image-0028,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401203289909308.jpg,assets/images/original/archive-image-0028.jpg,assets/images/webp/archive-image-0028.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,草むらの中。,1
archive-image-0029,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401203496575954.jpg,assets/images/original/archive-image-0029.jpg,assets/images/webp/archive-image-0029.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,猫神社の近く、密林か。,1
archive-image-0030,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401203783242592.jpg,assets/images/original/archive-image-0030.jpg,assets/images/webp/archive-image-0030.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,猫神社の途中。ハチワレ柄は少ない。,1
archive-image-0031,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401203966575907.jpg,assets/images/original/archive-image-0031.jpg,assets/images/webp/archive-image-0031.webp,ok,918,1224,album_photo,田代島視察（7月28日）,2016.07.28,猫神社。,1
archive-image-0032,this_profile's_activity_across_facebook/posts/media/tiandaidaoshicha7yue28ri_1401201876576116/1401204069909230.jpg,assets/images/original/archive-image-0032.jpg,assets/images/webp/archive-image-0032.webp,ok,1224,918,album_photo,田代島視察（7月28日）,2016.07.28,猫神社。,1
